,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28860,Verdi,USA0006531,2.4,Hydro,Truckee Meadows Water Authority,U.S. Energy Information Administration,23.9060483523836,-119.585,39.3125
28861,Vergennes 9,USA0006519,6.4,Oil,Green Mountain Power Corp,U.S. Energy Information Administration,8.038417959494543,-73.2575,44.1664
28862,Verizon-Torrance,USA0059261,1.0,Gas,Bloom Energy,U.S. Energy Information Administration,12.984965235357809,-118.3042,33.8506
28863,Vermillion Energy Facility,USA0055111,692.0,Gas,Duke Energy Ohio Inc,U.S. Energy Information Administration,2.6325417596558647,-87.4464,39.9223
28864,Vernon,USA0007436,30.0,Oil,City of Vernon,U.S. Energy Information Administration,25.10556595852743,-118.2219,33.9986
28865,Vernon Boulevard,USA0007909,94.0,Gas,New York Power Authority,U.S. Energy Information Administration,0.3608496480930458,-73.9508,40.7537
28866,Vernon Dam,USA0002352,35.9,Hydro,Great River Hydro  LLC,U.S. Energy Information Administration,1.8494923390196345,-72.5146,42.7717
28867,Versailles Peaking,USA0007775,5.4,Oil,American Mun Power-Ohio  Inc,U.S. Energy Information Administration,17.71362136287212,-84.4769,40.2247
28868,Verso Paper Quinnesec Mich Mill,USA0050251,56.0,Waste,Verso Paper - Quinnesec,U.S. Energy Information Administration,59.68831157098666,-87.9556,45.7956
28869,Verwey-Hanford Dairy Digester #1,USA0060918,1.0,Biomass,AlsoEnergy,U.S. Energy Information Administration,75.47899312299266,-119.6815,36.1852
28870,Vestaburg,USA0001881,23.7,Gas,Wolverine Power Supply Coop,U.S. Energy Information Administration,45.652473933421696,-84.9141,43.4016
28871,Vestas Towers America  Inc.,USA0057643,1.8,Wind,Vestas Towers America  Inc,U.S. Energy Information Administration,9.477168494403973,-104.62,38.1728
28872,Veyo Heat Recovery Project,USA0060421,9.5,Cogeneration,Utah Associated Mun Power Sys,U.S. Energy Information Administration,98.84118776006795,-113.765,37.348
28873,Vickers,USA0059190,2.0,Solar,Vickers Farm LLC,U.S. Energy Information Administration,7.819051682681518,-79.0803,35.8233
28874,Vicksburg Solar,USA0059605,5.0,Solar,Vicksburg Solar,U.S. Energy Information Administration,12.218102603178334,-78.3431,36.325
28875,Victor Dry Farm Ranch A,USA0058418,5.0,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,107.61612423704028,-117.4667,34.5011
28876,Victor Dry Farm Ranch B,USA0058419,5.0,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,107.11574293135352,-117.4711,34.4978
28877,Victor J Daniel Jr,USA0006073,2229.0,Gas,Mississippi Power Co,U.S. Energy Information Administration,17.605964798249566,-88.5553,30.5322
28878,Victor Mesa Linda B2,USA0059269,1.5,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,111.93676837972286,-117.3872,34.5128
28879,Victor Mesa Linda C2,USA0059270,1.5,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,111.7976385853284,-117.3872,34.5114
28880,Victor Mesa Linda D2,USA0059271,1.5,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,111.59896222244004,-117.3872,34.5094
28881,Victor Mesa Linda E2,USA0059272,1.5,Solar,Sustainable Power Group  LLC,U.S. Energy Information Administration,111.46987357540718,-117.3872,34.5081
